title,author,isbn,totalcheckouts
"How to show & sell your crafts :","Jayne, Torie,","9781250044723 (pbk.) :",19
"Next generation real estate :","DeSimone, Brendon,",9780984940059,23
"A crash course in starting a business :","Girard, Scott L.,",9789077256367,8
"Falling in Honey :","Barclay, Jennifer,","9781402285103 (pbk.)",17
"Gandhi before India /","Guha, Ramachandra,","9780385532297 (hbk.)",8
"Wilfred Owen /","Cuthbertson, Guy,","9780300153002 (hardback)",7
"Lizard meets Ivana the Terrible /","Scott, C. Anne","0805060936 (hc. : alk. paper)",42
"Rail-trails Pennsylvania, New Jersey and New York :",,"9780899976495 (pbk.)",37
"Resident on call :","Rivkees, Scott A.",9780762794539,15
"Brain rules for baby :","Medina, John,",9780983263388,13
"Congratulations, by the way :","Saunders, George,","9780812996272 (hbk.)",16
"Creativity, Inc. :","Catmull, Edwin E.,","9780812993011 (hardback)",27
"The ecstasy of surrender :","Orloff, Judith.","9780307338204 (hbk.)",31
"A farm dies once a year :","Crawford, Arlo.","9780805098167 (hardback)",14
"Give War and Peace a chance :","Kaufman, Andrew,","9781451644708 (hardcover) :",12
"The Italian vegetable cookbook :","Scicolone, Michele,","9780547909165 (hardback)",30
"My Paris kitchen :","Lebovitz, David.","9781607742678 (hbk.)",31
"Girl, interrupted /","Kaysen, Susanna,","9780679746041 (pbk.)",11
"The opposite of loneliness :","Keegan, Marina,","9781476753614 (hardback)",22
"Master the Catholic high school entrance exams, 2015.",,"9780768937978 :",8
"The Romanov sisters :","Rappaport, Helen.","9781250020208 (hardback)",19
"Trauma red :","Rhee, Peter,","9781476727295 (hardcover : alk. paper)",15
"Big little man :","Tizon, Alex.","9780547450483 (hbk.)",13
"Business without the bullsh*t :","James, Geoffrey,","9781455574582 (hardback)",19
"If I can't have you :","Olsen, Gregg.","9781250027146 (hbk.)",17
"The map thief :","Blanding, Michael,","9781592408177 (hardback)",18
"State trooper exam.",,"9781576857359 (pbk.)",
"Struck by genius :","Padgett, Jason.","9780544045606 (hardback)",16
"Supersurvivors :","Feldman, David B.,",9780062267856,24
"Think and grow rich for women :","Lechter, Sharon L.,","9780399170829 (hardback) :",16
"Five came back :","Harris, Mark,",9781594204302,21
"Friendship bracelets all grown up :","McNeill, Suzanne.",9781574218664,24
"Living in style :","Zoe, Rachel.","9781455523580 (hbk.)",10
"Quilt lab :","Winston, Alexandra,","9781607058038 (soft cover)",8
"Small beads, big jewelry :","Power, Jean,",9781438003511,17
"Save the date","Andrews, Mary Kay,","9781410467973 (lg. print : hardback)",30
"Tigers /","Stefoff, Rebecca,",076141391X,57
"Two homes /","Masurel, Claire.","0763605115 (alk. paper) | 9780763605117 (alk. paper)",15
"Superman : the ultimate guide to the Man of Steel /","Beatty, Scott,",0789488531,28
"Grasses :","Ondra, Nancy J.","158017423X (pbk. : alk. paper)",50
"The prince of tennis, Vol. 40 : The prince who forgot tennis /","Konomi, Takeshi,","9781421528526 (pbk.)",10
"Kare Kano :","Tsuda, Masami.","1931514798 (pbk.)",21
"The Count of Monte Cristo :",,1586633937,4
"Paper planes /","Joho, Phil.",1594120218,15
"The adventures of Molly Whuppie and other Appalachian folktales /","Shelby, Anne.","0807831638 (cloth : alk. paper) | 9780807831632 (cloth : alk. paper)",
"Facebook :","Vander Veer, Emily A.","9781449397418 (pbk.)",13
"The Japanese chronicles /","Bouvier, Nicolas.","1562790080 (acidfree paper) | 9781562790080 (acid-free paper)",3
"Psalm 23 /","Moser, Barry.","0310710855 (hardcover) | 9780310710851 (hardcover)",5
"The Goblin Emperor /","Addison, Katherine.","9780765326997 (hardcover)",19
"The queen of the tearling :","Johansen, Erika.","9780062290366 :",26
"The black hour /","Rader-Day, Lori,","9781616148850 (paperback)",14
"Blood brothers /","Hall, Patricia.","9781780290614 (hbk.)",19
"The bone orchard /","Doiron, Paul.",9781250034885,22
"Cut and thrust :","Woods, Stuart.","9780399169113 (hardback)",30
"Cut and thrust :","Woods, Stuart.","9780399169113 (hardback)",28
"The dead will tell /","Castillo, Linda.","9781250029577 (hardback)",28
"The dead will tell /","Castillo, Linda.","9781250029577 (hardback)",30
"The death of Lucy Kyte :","Upson, Nicola.","9780062195456 (pbk. : alk. paper)",16
"Doing it at the Dixie Dew :","Moose, Ruth.","9781250046383 (hardback)",25
"The forsaken /","Atkins, Ace.","9780399161797 (hardback)",24
"Hounded /","Rosenfelt, David.","9781250024749 (hbk.)",49
"Identity /","Thoft, Ingrid.","9780399162138 (hardback)",26
"Killing time in Ocean City /","Kelly, Jane,","0937548383 (hc)",11
"Mr Campion's farewell /","Allingham, Margery,","9780727883834 (hbk.)",25
"The night searchers /","Muller, Marcia.","9781455527939 (hbk.)",37
"Negative capability :","Bate, Walter Jackson,",0404140025,32
"Remains of innocence /","Jance, Judith A.","9780062134707 (hbk.)",38
"Remains of innocence /","Jance, Judith A.","9780062134707 (hbk.)",20
"Shots fired :","Box, C. J.","9780399158582 (hbk.)",30
"Shots fired :","Box, C. J.","9780399158582 (hbk.)",31
"The silkworm /","Galbraith, Robert,",9780316206877,30
"A song for the dying /","MacBride, Stuart.",9780007344307,21
"The vanishing /","Webb, Wendy","9781401341947 (pbk.)",15
"Wayfaring stranger :","Burke, James Lee,","9781476710792 (hbk.)",23
"Aquaman. Volume 2, The Others /","Johns, Geoff,",9781401242954,21
"Aquaman. Volume 3, Throne of Atlantis /","Johns, Geoff,","9781401246952 (pbk.)",20
"Batman. Volume 3, Death of the Family /","Snyder, Scott,","9781401246020 (softcover)",29
"Batman and Robin. Volume 2, Pearl /","Tomasi, Peter,","9781401242671 (pbk.)",5
"Batman and Robin. Volume 3, Death of the Family /","Tomasi, Peter,","9781401242688 (hardback)",23
"Batwoman. Volume 3, World's finest /","Williams, J. H.,","9781401242466 (hbk.) | 9781401246105 (pbk.)",11
"Batwoman. Volume 4, This blood is thick /","Williams, J. H.,","9781401246211 (hbk.)",10
"Bohemians :",,"9781781682616 (pbk.)",3
"The boxer :","Kleist, Reinhard,","9781906838775 (pbk.)",6
"Coffin Hill. Volume 1, Forest of the night /","Kittredge, Caitlin,","9781401248871 (pbk.)",14
"Kids are weird :","Brown, Jeffrey,","9781452118703 (hardback) :",11
Nemo.,"Moore, Alan,","9780861662302 (hbk.)",5
"Once upon a time machine /",,"9781616550400 (pbk.)",7
"Superboy. Volume 2, Extraction /","Lobdell, Scott,","9781401240493 (pbk.)",12
"Transformers classics. Volume 6 /","Furman, Simon,","9781613777640 (pbk.)",6
"White cube /","Vandenbroucke, Brecht,","9781770461390 (pbk.)",
"X-Men. Days of future past /","Claremont, Chris,","9780785184423 (hbk.)",33
"Cong Dujiangyan dao Yuelu shan 从都江堰到岳麓山/","Yu, Qiuyu 余秋雨.","7806463275 | 9787806463277",8
"Wu Yue zhi jian 吴越之间/","Yu, Qiuyu 余秋雨.","7806463291 | 9787806463291",7
"To perish in Penzance :","Dams, Jeanne M.","0802733670 (alk. paper)",51
"The Beatles /","Manning, Mick,","9781847804518 (trade)",11
"Fly Guy presents :","Arnold, Tedd,","9780606358187 (hardcover)",23
"Benny and Penny in Lost and found :","Hayes, Geoffrey.","9781935179641 (hbk.)",13
"The big wet balloon :","Liniers,","9781935179320 (alk. paper)",9
"Great white sharks /",,9781937068394,17
"Hello Kitty : Just imagine /","Chabot, Jacob.",9781421573625,18
"Pokemon adventures. Diamond and Pearl platinum. Vol. 09 /","Kusaka, Hidenori.",9781421554051,37
"Harry Potter y la piedra filosofal :","Rowling, J. K.","8478886540 | 9788478886548",9
"Cong Dunhuang dao Pingyao 从敦煌到平遥/","Yu, Qiuyu 余秋雨.","7806463267 | 9787806463260",7
"Bei fang de yi ji 北方的遗迹/","Yu, Qiuyu 余秋雨","7806463283 | 9787806463284",7
"The Prince of Risk :","Reich, Christopher,","9780385535069 (hardcover)",19
"The birth of the West :","Collins, Paul,","9781610390132 (hardcover : alk. paper)",21
"McGraw-Hill's conquering SAT writing /",McGraw-Hill,"9780071749138 (alk. paper)",28
"Hard choices :","Clinton, Hillary Rodham,",9781476751443,19
"Hard choices :","Clinton, Hillary Rodham,",9781476751443,15
"Rang quan shi jie dou zhao mi de mo fa shu /",,"7538862498 | 9787538862492",16
"The lost army of Cambyses /","Sussman, Paul.",0312301537,26
"Odessa again /","Reinhardt, Dana.","9780385907934 (lib. bdg.)",12
"Underland chronicles, bk. 5 : Gregor and the code of claw /","Collins, Suzanne,","9780439791441 (trade pbk.)",15
"Nancy Drew, girl detective. #04, High risk /","Keene, Carolyn.",9780689865695,15
"The immortals /","Stewart, Paul,",9780385752305,5
"The Winter Knights /","Stewart, Paul,","9780385736121 (pbk.) :",4
"The care and management of lies :","Winspear, Jacqueline,",9780062220530,20
"The girls of August","Siddons, Anne Rivers.","9781455529599 (large print : hardcover)",28
"The heist :","Silva, Daniel,","9780062320094 (pbk.)",19
"The heist :","Silva, Daniel,","9780062320094 (pbk.)",26
"Fiendish /","Yovanoff, Brenna.","9781595146380 (hardback)",19
"The revenge of seven /","Lore, Pittacus,","9780062194725 (hc.)",25
"Bombay blues /","Hidier, Tanuja Desai",9780545384780,
"Four : a divergent collection /","Roth, Veronica,","9780062345219 (trade bdg.) :",26
"Birdmen :","Goldstone, Lawrence,","9780345538031 (trade : alk. paper)",12
"The long shadow :","Reynolds, David,","9780393088632 (hardcover)",26
"Carsick /","Waters, John,","9780374298630 (hardcover)",18
"Love, Nina :","Stibbe, Nina,","9780316243391 :",21
"Scalia :","Murphy, Bruce Allen,","9780743296496 (hardback)",9
"Things I should have told my daughter :","Cleage, Pearl,","9781451664690 (hbk.)",14
"You can begin again :","Meyer, Joyce,","9781455517411 (hardcover)",26
"Before we say ""goodnight"" :","Frazee, Hank,","1614488916 : HRD | 9781614488910 : HRD",
"Got teens? :","Levkoff, Logan,","9781580055062 (pbk.)",5
"God's century :","Toft, Monica Duffy,",9780393069266,6
"Grania :","Llywelyn, Morgan.",051755951X,22
"The hornet's nest :","Carter, Jimmy,",0743255429,25
"That summer :","Willig, Lauren.","9781250014504 (hardback)",25
"Jack of spies /","Downing, David,","9781616952686 (hardback)",29
"Full assault mode /","Fury, Dalton.","9781250040480 (hardcover)",20
"I am having so much fun here without you /","Maum, Courtney,","9781476764580 (hardback)",27
"The kill switch :","Rollins, James,",9780062135254,24
"Visible city /","Mirvis, Tova,","9780544047747 (hardcover)",14
"One plus one :","Moyes, Jojo,","9780525426585 (hardback)",59
"The care and management of lies :","Winspear, Jacqueline,",9780062220509,24
"The care and management of lies :","Winspear, Jacqueline,",9780062220509,26
"The competition /","Clark, Marcia.",9780316220972,26
"Eden in winter /","Patterson, Richard North,",9781623651473,31
"The girls of August /","Siddons, Anne Rivers,",9780446527958,30
"Inside man /","Abbott, Jeff.","9781455528455 (hbk.)",29
"Sentinels of fire /","Deutermann, Peter T.,","9781250041180 (hbk.)",21
"Four friends /","Carr, Robyn,","9780778316817 (pbk.)",37
"Flight of the sparrow :","Brown, Amy Belding.",9780451466693,25
"One plus one :","Moyes, Jojo,","9781410466716 (hardback)",23
"One plus one :","Moyes, Jojo,","9781410466716 (hardback)",36
"Have a nice guilt trip","Scottoline, Lisa.","9781410467935 (hardback)",24
"Kiss and tell","Michaels, Fern.","9781410466730 (large print : hardcover)",30
"Suspicion :","Finder, Joseph.","9781410467492 (large print : hardcover)",42
"Terminal city","Fairstein, Linda A.","9781410466709 (hardback)",26
"Walking on water :","Evans, Richard Paul.","9781628991017 (library binding : alk. paper)",23
"How does the show go on? :","Schumacher, Thomas.","9781423100881 :",
"Courageous /","Palmer, Diana.",9780373776726,4
"It's so hard to love you :","Klatte, Bill.",9781572244962,8
"SAT subject test.","Goldberg, Deborah T.","9780764146145 (pbk.) :",24
"Grace Kelly :",,"1862057761 (hbk.) | 9781862057760 (hbk.)",8
"Insect detector /","Holmes, Anita,","0761411100 | 9780761411109",11
"Couples /","Updike, John.",044991190X,14
"Positivity /","Fredrickson, Barbara.","0307393739 | 9780307393739",9
"Edge of eternity /","Follett, Ken,","9780525953098 (hbk.) :",24
"Edge of eternity /","Follett, Ken,","9780525953098 (hbk.) :",17
"Edge of eternity /","Follett, Ken,","9780525953098 (hbk.) :",27
"Landline /","Rowell, Rainbow.","9781250049377 (hardback)",37
"A wedding in Provence :","Sussman, Ellen,","9780345548955 (hardback)",28
"The midwife :","Worth, Jennifer,",9780143116233,8
"The midwife :","Worth, Jennifer,",9780143116233,10
"CSS mastery :","Budd, Andy.",9781430223979,
"A colder war /","Cumming, Charles,","9781250020611 (hbk.)",29
"Adultery :","Coelho, Paulo,",9781101874080,28
"After everything :","Dainty, Suellen.","9781476771373 (hardback)",19
"All I love and know :","Frank, Judith,","9780062302878 (hbk.) :",34
"Back channel /","Carter, Stephen L.,","9780385349604 (hardback)",21
"Henna House :","Eve, Nomi,",9781476740270,17
"Henna House :","Eve, Nomi,",9781476740270,16
"The lost island :","Preston, Douglas J.","9781455525775 (hardcover)",30
"The Mill River redemption :","Chan, Darcie.","9780345538239 (paperback)",18
"The Boleyn reckoning :","Andersen, Laura.","9780345534132 (pbk. : acidfree paper)",27
"The butcher /","Hillier, Jennifer.","9781476734217 (hardback)",17
"The house of small shadows /","Nevill, Adam L. G.","9781250041272 (hbk.)",15
"Since you've been gone /","Knight, Anouska,","9780373779284 (pbk.)",30
"Tabula rasa :","Downie, Ruth,",9781608197088,16
"The confessions of Frances Godwin :","Hellenga, Robert,","9781620405499 (hardback)",17
"Don't try to find me /","Brown, Holly,","9780062305848 (hbk.)",27
"From a distance /","Barker, Raffaella,","9781620403341 (pbk.)",12
"The hundred-year house /","Makkai, Rebecca.","9780525426684 (hbk.)",6
"The last kings of Sark :","Rankin-Gee, Rosa.","9781250045355 (hardback)",11
"The stager /","Coll, Susan.","9780374268817 (hardback)",24
"Watchers of time /","Todd, Charles.","0553801791 (alk. paper)",79
"Alias Hook /","Jensen, Lisa,","9781250042156 (hbk.)",10
"Dear life :","Munro, Alice,",9780307743725,15
"The stories /","Gardam, Jane,","9781609451998 (cloth)",15
"Triplines /","Chang, Leonard.","9781936364091 (pbk.)",9
"2 a.m. at The Cat's Pajamas :","Bertino, Marie-Helene.",9780804140232,20
"Three light-years :","Canobbio, Andrea,","9780374278908 (hardback)",16
"The prodigal son /","Roby, Kimberla Lawson.","9781455526130 (hardback)",12
"The executioner's song /","Mailer, Norman.","9780446584388 (pbk.)",8
"Mambo in Chinatown /","Kwok, Jean.",9781594632006,19
"Dollbaby /","McNeal, Laura Lane.","9780670014736 (hbk.)",41
"The 6th extinction /","Rollins, James,","9780061784811 (hardcover)",40
"Before, during, after :","Bausch, Richard,","9780307266262 (hbk.)",22
"Bitter greens :","Forsyth, Kate,","9781250047533 (hbk.)",23
"Bittersweet /","McCullough, Colleen,","9781476755410 (hbk.)",29
"The complete book of pottery making /","Kenny, John B.","0801959322 | 0801959330",61
"Colorless Tsukuru Tazaki and his years of pilgrimage :","Murakami, Haruki,","9780385352109 (hardback)",31
"Dear daughter /","Little, Elizabeth,","9780670016389 (hbk.)",28
"Fatal conceit /","Tanenbaum, Robert,","9781451635577 (hardback)",28
"A girl is a half-formed thing /","McBride, Eimear.","9781566893688 (hbk.)",21
"Heroes are my weakness :","Phillips, Susan Elizabeth,","9780062106070 (hardback)",33
"Lisette's list :","Vreeland, Susan.","9781400068173 (hbk.)",26
"The mark of the midnight manzanilla /","Willig, Lauren,","9780451414731 (paperback)",14
"Mean streak :","Brown, Sandra,","9781455581122 (hardback)",41
"Mean streak :","Brown, Sandra,","9781455581122 (hardback)",40
"Neverhome /","Hunt, Laird,",9780316370134,21
"Season of the dragonflies :","Creech, Sarah.","9780062307521 (hardback)",17
"Secrets of the lighthouse /","Montefiore, Santa,","9781476735375 (hbk.)",27
"Silver Bay :","Moyes, Jojo,","9780143126485 (paperback)",50
"Small blessings /","Woodroof, Martha,","9781250040527 (hbk.)",20
"The thing about December /","Ryan, Donal,","9781586422288 (pbk.)",12
"We are not ourselves /","Thomas, Matthew,","9781476756660 (hbk.)",23
"Wolf in white van /","Darnielle, John.","9780374292089 (hbk.)",21
"One evening in Paris /","Barreau, Nicolas,","9781250043122 (pbk.)",16
"10:04 :","Lerner, Ben,","9780865478107 (hbk.)",20
"Home comforts :","Mendelson, Cheryl,",068481465X,56
"All we had :","Weatherwax, Annie,","9781476755205 (hc.)",15
"Angels make their hope here :","Clarke, Breena,","9780316254007 :",15
"Emeralds included /","Woodman, Betsy.","9780805093582 (hbk.)",11
"Etta Mae's worst bad-luck day /","Ross, Ann B.,",9780670024377,16
"A good year for the roses :","McNeil, Gil,","9781401341916 (pbk.)",19
"Last to know /","Adler, Elizabeth","9781250019929 (hardback)",40
"Road ends :","Lawson, Mary,","9780812995732 (hardback)",18
"Sight unseen /","Johansen, Iris.","9781250020529 (hardback)",23
"One kick :","Cain, Chelsea.","9781476749785 (hardback)",22
"A deadly business :","Wiehl, Lis W.","9781595549044 (IE)",22
"Designated daughters /","Maron, Margaret,","9781455545285 (hardcover)",45
"The Devil in the Marshalsea /","Hodgson, Antonia.","9780544176676 (pbk.)",19
"The frozen dead /","Minier, Bernard.","9781250045539 (hardback)",19
"The good, the bad, and the emus /","Andrews, Donna.","9781250009500 (hardback)",30
"Half in love with artful death /","Crider, Bill,","9781250039675 (hardback)",21
"Ice shear /","Cooley, Martha.","9780062300706 (hbk.)",21
"A little night murder /","Martin, Nancy,","9780451415271 (hardback)",32
"The long way home /","Penny, Louise.","9781250022066 (hbk.)",44
"A possibility of violence /","Mishani, Dror.","9780062195401 (hardback)",19
"Private down under /","Patterson, James,","9781455529766 (hbk. : library edition only)",28
"Private down under /","Patterson, James,","9781455529766 (hbk. : library edition only)",29
"Sorrow bound /","Mark, David John,","9780399168208 (hardback)",17
"Strange shores /","Arnaldur Indriðason,","9781250000408 (hbk.)",26
"The ways of the dead /","Tucker, Neely,","9780670016587 (hardback)",19
"Authority /","VanderMeer, Jeff.","9780374104108 (pbk.)",19
"A clash of kings :","Martin, George R. R.",9780553108033,7
"A clash of kings :","Martin, George R. R.",9780553108033,25
"A clash of kings :","Martin, George R. R.",9780553108033,21
"Half a king /","Abercrombie, Joe.",9780804178327,30
"Heaven's queen /","Bach, Rachel.","9780316221122 (trade pbk.)",15
"Rogues /",,"9780345537263 (hardback)",19
"The seat of magic :","Cheney, J. Kathleen.","9780451417763 (pbk.)",18
"Sparrow Hill Road /","McGuire, Seanan,",9780756409616,12
"Heroes are my weakness :","Phillips, Susan Elizabeth.",9780062106131,23
"The lost island :","Preston, Douglas J.,","9781455582228 (large print hardcover) :",21
"Love letters","Macomber, Debbie.","9780804194501 :",36
"Nine lives to die :","Brown, Rita Mae.","9781410469199 (large print : hardback)",12
"The city :","Koontz, Dean R.","9781410470140 (large print : hardcover)",26
"A wilder rose","Albert, Susan Wittig.","9781410466631 (hardcover)",25
"A wilder rose","Albert, Susan Wittig.","9781410466631 (hardcover)",30
"The Bramble Bush :","Llewellyn, Karl N.","9780195368451 (pbk. : alk. paper)",13
"Last car to Elysian Fields /","Burke, James Lee,",0743245423,44
"The polygamous wives writing club :","Harline, Paula Kelly.","9780199346509 (cloth : alk. paper)",9
"Eating wildly :","Chin, Ava.",9781451656190,11
"French ghosts, Russian nights, and American outlaws :","Spano, Susan.","9781938901249 (paperback : alkaline paper)",10
"Chancellorsville /","Sears, Stephen W.","0395634172 | 9780395877449 (pbk.)",
"A change of appetite :","Henry, Diana.",9781845338923,8
"One size never fits all :","Reeves, Arin N.",9781627224895,8
"#Girlboss /","Amoruso, Sophia.","9780399169274 (hardback)",24
"The pursuit ","Lindsey, Johanna.",0060083328,81
"The ear of the heart :","Hart, Dolores,","1586177478 | 9781586177478",17
"The Little Bookroom guide to New York City with children :","Hederman, Angela,","9781936941094 (alk. paper)",14
"Lost & found :","Jakes, Sarah.","9780764212093 (hbk. : alk. paper)",14
"Now I see you /","Kear, Nicole C.","9781250026569 (hardback)",17
"Power cues :","Morgan, Nick,","9781422193501 (alk. paper)",24
"Rescue of the Bounty :","Tougias, Mike,","9781476746630 (hardback)",13
"The tastemakers :","Sax, David.","9781610393157 (hardcover)",21
"At home with Modern June :","McCants, Kelly,","9781607058007 (soft cover)",16
"Craftivism :",,"9781551525341 (pbk.)",4
"Embroidery & patchwork revisited :","Vaine, Janice,","9781935726517 (pbk.)",7
"Golazo! :","Campomar, Andreas,","9781594485862 (Riverhead trade paperback)",
"Golazo! :","Campomar, Andreas,","9781594485862 (Riverhead trade paperback)",
"Kitchen ideas you can use :","Peterson, Chris,","9781591865902 (pbk.)",20
"Make + love quilts :","Fons, Mary.","9781607058625 (soft cover)",10
"Plain Simple Useful :","Conran, Terence.",9781840916553,18
"Red Sox vs. Yankees :","Frommer, Harvey.","9781589799189 (pbk. : alk. paper)",8
"Reversible color crochet :","Reddig, Laurinda.",9781620333389,10
"Style & simplicity :","Watson, Ted Kennedy,",9781454907244,14
"The third plate :","Barber, Dan,","9781594204074 (hardback)",15
"Autism breakthrough :","Kaufman, Raun Kahlil,","9781250041111 (hbk.)",20
"Beyond addiction :",,"9781476709475 (hardback)",16
"The bombers and the bombed :","Overy, R. J.","9780670025152 (hardcover)",22
"The devil that never dies :","Goldhagen, Daniel Jonah.",9780316097871,10
"End of night :","Bogard, Paul.",9780316182911,10
"On the High Line :","La Farge, Annik,","0500291411 (pbk.) | 9780500291412 (pbk.)",23
"The boys in the boat :","Brown, Daniel,","9780143125471 | 9780670025817 (hardcover)",34
"Color recipes for painted furniture :","Sloan, Annie,",9781908862778,15
"Free-spirit shawls :","Shroyer, Lisa.","9781596689046 (pbk.)",10
"I don't care if we never get back :","Blatt, Ben.",9780802122742,11
"Marcia DeCoster's beads in motion :","DeCoster, Marcia.",9781454703358,3
"Pinch pottery :","Halls, Susan.","9781454704133 (pbk.)",14
"A spy among friends :","Macintyre, Ben,",9780804136631,21
"Blood feud :","Klein, Edward,",9781621573135,20
"Killing Patton :","O'Reilly, Bill.","9780805096682 (hardcover) :",18
"Killing Patton :","O'Reilly, Bill.","9780805096682 (hardcover) :",17
"Personal :","Child, Lee.","9780804178747 (acidfree paper)",28
"The bankers' new clothes :","Admati, Anat R.",9780691162386,11
"Great figures of mythology /","Clayton, Peter A.",0517005387,76
"Emily L. /","Duras, Marguerite.","0394572335 :",19
"A history of the Middle East /","Mansfield, Peter,","0143121901 (paperback) | 9780143121909 (paperback)",26
"Leaving time :","Picoult, Jodi,","9780345544926 (hardcover)",42
"Days of rage :","Taylor, Brad,","9781410466761 (hardback)",21
"The forsaken","Atkins, Ace.","9781410466754 (hardback)",29
"Good omens :","Gaiman, Neil.","9780060853976 (pbk.)",13
"Islands of rage & hope /","Ringo, John,","9781476736624 (hbk.)",9
"The path of daggers /","Jordan, Robert,",9780765336477,8
"Shifting shadows :","Briggs, Patricia.","9780425265000 (hardback) :",13
"Beach bags and burglaries /","Howell, Dorothy",9780758294944,33
"The blood of an Englishman :","Beaton, M. C.","9780312616267 (hbk.)",40
"Blood on the water :","Perry, Anne.","9780345548436 (hardback)",31
"Burn /","Patterson, James,","9780316211048 (hc) :",26
"Clam wake :","Daheim, Mary.","9780062317728 (hbk.)",23
"The Darling Dahlias and the silver dollar bush /","Albert, Susan Wittig,","9780425260609 (hardback)",20
"The drop :","Lehane, Dennis.","9780062365576 (limited edition hardcover)",26
"Festive in death/","Robb, J. D.,","0399164448 (hbk.) | 9780399164446 (hbk.)",51
"Festive in death/","Robb, J. D.,","0399164448 (hbk.) | 9780399164446 (hbk.)",26
"Festive in death/","Robb, J. D.,","0399164448 (hbk.) | 9780399164446 (hbk.)",32
"The Golem of Hollywood /","Kellerman, Jonathan,",9780399162367,26
"The Golem of Hollywood /","Kellerman, Jonathan,",9780399162367,26
"The monogram murders :","Hannah, Sophie,",9780062297211,27
"The monogram murders :","Hannah, Sophie,",9780062297211,26
"Murder 101 :","Kellerman, Faye,",9780062270184,48
"Murder 101 :","Kellerman, Faye,",9780062270184,26
"Murder on the Île Sordou :","Longworth, M. L.","9780143125549 (pbk.)",17
"Robert B. Parker's Blind spot /","Coleman, Reed Farrel,","9780399169458 (hbk.)",40
"Robert B. Parker's Blind spot /","Coleman, Reed Farrel,","9780399169458 (hbk.)",29
"Rose Gold :","Mosley, Walter.","9780385535977 (hardcover)",21
"The secret place /","French, Tana,","9780670026326 (hbk.)",36
"The secret place /","French, Tana,","9780670026326 (hbk.)",33
"The 6th extinction","Rollins, James,",9780062326430,17
"Personal :","Child, Lee.","9780804194587 (large print softcover) :",24
"Personal :","Child, Lee.","9780804194587 (large print softcover) :",29
"Somewhere safe with somebody good","Karon, Jan,","9780399172212 (large print)",23
"Mr. Miracle :","Macomber, Debbie,","9780553391152 (hbk.)",22
"A dancer in the dust /","Cook, Thomas H.",9780802122728,14
"The distance :","Giltrow, Helen.","9780385536998 (hbk.)",20
"The king /","Abdolah, Kader,","9780811223737 (alk. paper)",21
"The anatomy of dreams :","Benjamin, Chloe.","9781476761169 (pbk.)",14
"Bones never lie /","Reichs, Kathy.","9780345544018 (acidfree paper)",12
"Bones never lie /","Reichs, Kathy.","9780345544018 (acidfree paper)",30
"Boomerang :","August, Noelle.","9780062331069 (pbk.)",21
"Ginger /","Voake, Charlotte.","076360108X (hardcover : alk. paper)",84
"The children act :","McEwan, Ian,","9780385539708 (hardback)",28
"The dog /","O'Neill, Joseph,","9780307378231 (hard cover : alk. paper) :",14
"The eye of heaven /","Cussler, Clive.","9780399167300 (hbk.)",23
"The eye of heaven /","Cussler, Clive.","9780399167300 (hbk.)",34
"The eye of heaven /","Cussler, Clive.","9780399167300 (hbk.)",27
"Florence Gordon /","Morton, Brian,","9780544309869 (hbk.)",31
"An Italian wife /","Hood, Ann,",9780393241662,31
"The king's curse /","Gregory, Philippa,","9781451626117 (hardback)",27
"Lovely, dark, deep :","Oates, Joyce Carol,",9780062356949,16
"The moment of everything :","King, Shelly,","9781455546794 (trade pbk.)",11
"Station eleven /","Mandel, Emily St. John,","9780385353304 (hardback)",35
"The betrayers :","Bezmozgis, David,",9780316284332,16
"How to build a girl /","Moran, Caitlin,",9780062335975,24
"The lost key /","Coulter, Catherine,","9780399164767 (hardcover : acidfree paper) :",35
"Rooms  /","Oliver, Lauren,",9780062223197,17
"Stone mattress :","Atwood, Margaret,","9780385539128 (alk. paper)",19
"The sweetness :","Berger, Sande Boritz.","9781631529078 (pbk.)",19
"Dear Committee Members /","Schumacher, Julie,","9780385538138 (hbk.)",22
"Dog beach /","Fusco, John,","9781476750347 (hardback)",18
"Horrorstör /","Hendrix, Grady,",9781594745263,23
"Juliet's nurse :","Leveen, Lois,","9781476757445 (hbk.) :",19
"If I had a dragon =","Ellery, Tom.","1933032162 (hardcover) | 1933032170 (pbk.) | 9781933032160 (hardcover) | 9781933032177 (pbk.)",14
"Néstor Hámster /","Krings, Antoon.","8498015944 | 9788498015942",7
"Bats in the band /","Lies, Brian,","0544105699 (hardback) | 9780544105690 (hardback)",38
"Flora and the penguin /","Idle, Molly Schaar,","145212891X (alk. paper) | 9781452128917 (alk. paper)",26
"The fox went out on a chilly night /","Spier, Peter,","0385376162 | 9780385376167",8
"Hooray for hat! /","Won, Brian,","0544159039 | 9780544159037",53
"Out of the deep I cry /","Spencer-Fleming, Julia.",0312312628,57
"Red Knit Cap Girl and the reading tree /","Stoop, Naoko,","0316228869 (hardcover) | 9780316228862 (hardcover)",32
"Frank Einstein and the antimatter motor /","Scieszka, Jon,","9781419712180 (hardback)",38
"Frank Einstein and the antimatter motor /","Scieszka, Jon,","9781419712180 (hardback)",30
"Jim Averbeck presents A Hitch at the Fairmont /","Averbeck, Jim.","9781442494473 (cloth)",19
"Jackal /","Stone, Jeff,","9780375870200 (hardcover)",11
"Jackal /","Stone, Jeff,","9780375870200 (hardcover)",13
